PDOid,natural_tair,natural_preci,natural_available_water,natural_shannon_x,natural_shannon_y,natural_simpson,natural_evenness,natural_Shift_area_[km²],natural_Shift_area_[% tot],social_Total_dependency,social_Aging_Index,"financial_Liabilities / Current assets,Buildings Machinery",financial_Liabilities / Total assets,financial_cash flow/ liabilities,financial_Wages €/h unpaid labour,financial_Cost-income ratio,financial_Return on equity,financial_Return on assets,financial_Subsidy % / of net income,financial_Subsidy Dependency (%of Income),legal_Irrigation,legal_Amendment,legal_Nr Varieties,legal_PDO_age,human_labour_total,human_labour_regular,human_labour_sol_holder,human_labour_family,human_labour_regular_non_family,human_labour_non_regular,human_labour_farm_man,human_labour_regular_perc,human_human_resources_2020,human_training_managers_2016,human_route,physical_road_lenght,physical_machinery_per_area,physical_machines_buildings_per_area,social_POP_density,social_POP_density_agr
PDO-AT-A0205,0.419673718286057,0.07000642682739236,0.32908123819826723,0.3270806071953502,0.6469730049086315,0.1953287180468992,0.6094581653894907,0.27439024390243305,0.3312156882988325,0.3437743435428474,0.5486319943064444,0.8457510343962158,0.5469594340628527,0.4433735875431988,0.162489955054602,0.1764771350631594,0.2443836928650668,0.1452365576404243,0.8211228709405873,0.8208172162765014,,0.0,0.2556390977443609,0.518800841913647,0.2563437819153115,0.2692961577694662,,0.1918836984980019,0.0813807531380753,0.0520487264673311,,0.9753873298159546,1.0,0.7355961794326578,0.6664031356940472,0.26047280736636413,0.4927096680725389,0.3493272779705516,0.13090842212078435,0.17454686571474573
PDO-AT-A0206,0.09660538817109655,0.02362251781914381,0.2652654847521468,0.09105679986529953,0.6469730049086316,0.19532871804689916,0.6094581653894907,0.0005116834385127427,0.0005205128642231888,0.3664255391111411,0.6134543972396782,0.8457510343962158,0.5469594340628527,0.4433735875431988,0.16248995505460195,0.17647713506315935,0.24438369286506684,0.14523655764042437,0.8211228709405871,0.8208172162765014,,1.0,0.0,0.5188008419136468,0.2563437819153115,0.26929615776946625,,0.1918836984980019,0.08138075313807532,0.052048726467331094,,0.9753873298159548,1.0,0.7355961794326575,0.7779414177920669,0.32035810673798454,0.49270966807253885,0.34932727797055163,0.11998809561421302,0.08122472457855826
PDO-AT-A0207,0.13460032686827939,0.031123844453213836,0.3248134457663388,0.16666165844729694,0.7842224438649821,0.44202726685862587,0.7493378935704162,0.01683069462273514,0.015836645218951527,0.36946729054144145,0.5644201519332986,0.8457510343962157,0.5469594340628526,0.4433735875431988,0.16248995505460195,0.17647713506315937,0.24438369286506678,0.1452365576404243,0.8211228709405873,0.8208172162765012,,1.0,0.25563909774436094,0.4718129586438363,0.04705789928509701,0.048367902074124405,,0.029626567452115202,0.030334728033472806,0.016057585825027598,,0.9367647981847756,0.925,0.4322929894361932,0.704525670092246,0.17753119027403294,0.49270966807253896,0.34932727797055163,0.13452803339952268,0.11774584771746861
PDO-AT-A0208,0.1956886127135469,0.03161292699253185,0.2953564086312013,0.32628943851131587,0.6469730049086315,0.1953287180468992,0.6094581653894907,0.012195121951219275,0.011523455180620437,0.4031349766516494,0.6828187559937298,0.8457510343962158,0.5469594340628527,0.4433735875431988,0.162489955054602,0.1764771350631594,0.2443836928650668,0.1452365576404243,0.8211228709405873,0.8208172162765014,,1.0,0.0075187969924812,0.518800841913647,0.2563437819153115,0.2692961577694662,,0.1918836984980019,0.0813807531380753,0.0520487264673311,,0.9753873298159546,1.0,0.7355961794326578,0.7506551820137259,0.2522037165182875,0.4927096680725389,0.3493272779705516,0.26507961211163145,0.2523340584863917
PDO-AT-A0209,0.19695829739806034,0.04398216303227096,0.28774223604544596,0.27079817535566586,0.6469730049086316,0.1953287180468992,0.6094581653894907,0.0,0.0,0.37549313248336547,0.6938980960963043,0.8457510343962157,0.5469594340628526,0.4433735875431988,0.16248995505460198,0.1764771350631594,0.2443836928650668,0.1452365576404243,0.8211228709405872,0.8208172162765014,,1.0,0.0075187969924812,0.518800841913647,0.25634378191531143,0.2692961577694662,,0.1918836984980019,0.0813807531380753,0.0520487264673311,,0.9753873298159546,1.0,0.7355961794326578,0.7735772342250521,0.36944888555293387,0.49270966807253896,0.3493272779705516,0.2024113908275664,0.13392598035225695
PDO-AT-A0210,0.21301703040581146,0.04684221007109682,0.36008104115570766,0.162892705932982,0.6469730049086314,0.19532871804689908,0.6094581653894907,0.1245459263103264,0.12298809494749645,0.3806655151951019,0.6894181145160516,0.8457510343962157,0.5469594340628526,0.44337358754319883,0.16248995505460206,0.17647713506315937,0.24438369286506692,0.14523655764042429,0.8211228709405869,0.8208172162765015,,1.0,0.0075187969924812,0.5188008419136467,0.2563437819153116,0.2692961577694661,,0.19188369849800185,0.08138075313807529,0.05204872646733112,,0.9753873298159541,1.0,0.7355961794326575,0.7613159750525612,0.2591560293694431,0.49270966807253896,0.34932727797055163,0.18568348108760632,0.2156469724454045
PDO-AT-A0214,0.17886475357724477,0.04027638196710293,0.3351056077111384,0.11997805692598464,0.7842224438649825,0.44202726685862587,0.7493378935704162,0.03832752613240099,0.02710364955653485,0.34557448257212814,0.5333998192365682,0.8457510343962158,0.5469594340628527,0.44337358754319883,0.16248995505460204,0.17647713506315935,0.2443836928650668,0.14523655764042429,0.8211228709405874,0.8208172162765015,,1.0,0.0,0.518800841913647,0.047057899285096995,0.04836790207412439,,0.029626567452115202,0.030334728033472803,0.016057585825027598,,0.9367647981847756,0.9250000000000002,0.4322929894361934,0.8118353537417937,0.26484401680132813,0.49270966807253896,0.34932727797055163,0.0898457281225481,0.08609651607322609
PDO-AT-A0215,0.12390124283623462,0.032576136273103386,0.35479661450993777,0.2118458047129237,0.7842224438649823,0.4420272668586259,0.7493378935704164,0.021002710027100732,0.020525140154047612,0.37124549276557506,0.5362196526314684,0.8457510343962157,0.5469594340628526,0.4433735875431988,0.16248995505460198,0.17647713506315937,0.2443836928650668,0.1452365576404243,0.8211228709405872,0.8208172162765014,,1.0,0.0,0.20604129927754705,0.04705789928509701,0.0483679020741244,,0.029626567452115202,0.030334728033472806,0.0160575858250276,,0.9367647981847755,0.9249999999999999,0.4322929894361933,0.49948241507906577,0.15717412756272192,0.492709668072539,0.3493272779705516,0.10230057841158402,0.0915438838696611
PDO-AT-A0216,0.15572035260381364,0.03023681640111952,0.2894692767142852,0.1363271017008237,0.7842224438649825,0.44202726685862587,0.7493378935704162,0.0,0.0,0.3823268939591259,0.6292661470300184,0.8457510343962158,0.5469594340628527,0.44337358754319883,0.16248995505460204,0.17647713506315935,0.2443836928650668,0.14523655764042429,0.8211228709405874,0.8208172162765015,,1.0,0.030075187969924803,0.2547357642641789,0.047057899285096995,0.04836790207412439,,0.029626567452115202,0.030334728033472803,0.016057585825027598,,0.9367647981847756,0.9250000000000002,0.4322929894361934,0.916636056442587,0.1616202881956777,0.49270966807253896,0.34932727797055163,0.204547590388056,0.1776220503995387
PDO-AT-A0217,0.09432442248213933,0.0198746198357248,0.2719049510310263,0.051833614836200366,0.6469730049086315,0.1953287180468992,0.6094581653894907,0.0,0.0,0.39531486237881397,0.6607497665706036,0.8457510343962158,0.5469594340628527,0.4433735875431988,0.162489955054602,0.1764771350631594,0.2443836928650668,0.1452365576404243,0.8211228709405873,0.8208172162765014,,0.0,0.2556390977443609,0.518800841913647,0.2563437819153115,0.2692961577694662,,0.1918836984980019,0.0813807531380753,0.0520487264673311,,0.9753873298159544,1.0,0.7355961794326578,0.8663922118810697,0.17514030010819817,0.4927096680725389,0.3493272779705516,0.27094184330191085,0.19721075822028533
PDO-AT-A0218,0.7934957140186856,0.30634522503837464,0.591531275691036,0.14432296678835405,,,,0.786400591278638,0.7365377827207494,0.3446882699153624,0.6172103567994036,0.8457510343962157,0.5469594340628527,0.4433735875431988,0.16248995505460195,0.17647713506315937,0.24438369286506686,0.14523655764042434,0.8211228709405871,0.8208172162765014,,1.0,0.25563909774436094,0.36481028499914686,0.05899913583156569,0.06290377422645349,,0.047471406917459,0.011924686192468599,0.0055370985603543,,1.0,0.8062500000000001,0.43645494531950974,0.3334843788689214,0.23846641929389284,0.4927096680725389,0.3493272779705516,0.09566642684544326,0.17662545780293307
