PDOid,koeppen,landform
PDO-AT-A0205,"Dfb Cold, no dry season, warm summer",Hills
PDO-AT-A0206,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0207,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0208,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0209,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0210,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0214,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0215,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0216,"Dfb Cold, no dry season, warm summer",Plains
PDO-AT-A0217,"Dfb Cold, no dry season, warm summer",Plains
PDO-AT-A0218,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-AT-A0219,"Dfb Cold, no dry season, warm summer",Plains
PDO-AT-A0221,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0223,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0224,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-AT-A0225,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-AT-A0226,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0228,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-AT-A0229,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-AT-A0230,"ET Polar, tundra",Mid Altitude Mountains 
PDO-AT-A0231,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-AT-A0233,"Dfb Cold, no dry season, warm summer",Plains
PDO-AT-A0234,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-AT-A0235,"Dfb Cold, no dry season, warm summer",Plains
PDO-BE+NL-02172,"Cfb Temperate, no dry season, warm summer",Plains
PDO-BE-A0009,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-BE-A0011,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-BE-A0012,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-BE-A1426,"Cfb Temperate, no dry season, warm summer",Plains
PDO-BE-A1430,"Cfb Temperate, no dry season, warm summer",Plains
PDO-BE-A1492,"Cfb Temperate, no dry season, warm summer",Plains
PDO-BE-A1499,"Cfb Temperate, no dry season, warm summer",Plains
PDO-BG-A0013,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A0360,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A0370,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-BG-A0382,"Dfa Cold, no dry season, hot summer",Plains
PDO-BG-A0420,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A0430,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-BG-A0877,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A0881,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-BG-A0885,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A0944,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A0946,"BSk Arid, steppe, cold",Mid Altitude Mountains 
PDO-BG-A0951,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A0952,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A0955,"Dfa Cold, no dry season, hot summer",Plains
PDO-BG-A0956,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A0957,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A0985,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A0997,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1006,"BSk Arid, steppe, cold",Mid Altitude Mountains 
PDO-BG-A1008,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-BG-A1018,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A1030,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1031,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A1032,"BSk Arid, steppe, cold",Lowlands
PDO-BG-A1043,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1044,"Dfb Cold, no dry season, warm summer",Mid Altitude Plains
PDO-BG-A1047,"Csa Temperate, dry summer, hot summer",Hills
PDO-BG-A1175,"Cfa Temperate, no dry season, hot summer",Plains
